鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大同區,房地(土地+建物)+車位,臺北市大同區民生西路91~120號,6.23,商,,,1090407,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020826.0,73.45,3,2,2,有,有,15440000,210211.0,坡道平面,10.75,0,親友、員工或其他特殊關係間之交易。;,RPRNMLSLMHPFFBA38CA
中正區,房地(土地+建物)+車位,臺北市中正區中華路一段1~30號,9.66,商,,,1090306,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041214.0,141.8,2,2,1,有,有,32650000,230254.0,塔式車位,12.02,0,,RPQOMLLLMHPFFBA67CA
文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段301~330號,29.48,住,,,1090309,土地2建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960604.0,178.13,3,2,2,有,有,26500000,148768.0,坡道平面,48.8,0,含增建或未登記建物。;,RPUNMLLLMHPFFAA87CA
西區,房地(土地+建物)+車位,臺中市西區精誠18街31~60號,13.41,住,,,1090315,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831018.0,142.53,3,2,2,有,有,8160000,57251.0,坡道機械,0.0,0,,RPXOMLPKMHPFFAB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區四平路238巷1~30號,16.3,住,,,1090308,土地2建物2車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800424.0,124.38,2,2,2,有,有,6750000,54269.0,坡道平面,0.0,0,,RPQNMLKMMHPFFBB67CA
北區,房地(土地+建物)+車位,臺中市北區忠太東路91~120號,8.09,住,,,1090311,土地1建物1車位1,七層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840607.0,94.93,3,2,1,有,有,5580000,58780.0,坡道機械,0.0,0,,RPUOMLSJNHPFFBB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,16.28,住,,,1090106,土地2建物3車位1,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,801003.0,149.33,4,2,2,有,有,7800000,52233.0,坡道機械,0.0,0,,RPWNMLQKMHPFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區大墩十七街91~120號,13.96,住,,,1090304,土地1建物1車位1,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940215.0,145.34,3,2,2,有,無,12800000,88069.0,坡道平面,21.35,0,,RPSPMLQKMHPFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路三段151~180號,11.88,住,,,1090302,土地1建物1車位1,九層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031119.0,116.31,2,2,1,有,有,8350000,71791.0,坡道機械,19.87,0,,RPVOMLRKMHPFFCB88CA
南屯區,房地(土地+建物)+車位,臺中市南屯區公益路二段331~360號,10.46,住,,,1090312,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,930209.0,122.19,3,2,2,有,有,9900000,81021.0,坡道平面,0.0,0,,RPVQMLKLMHPFFCB48CA
