鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鳳山區,房地(土地+建物)+車位,高雄市鳳山區北昌五街1~30號,20.07,住,,,1090331,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,116.03,2,1,2,有,有,6200000,53434,坡道機械,0.0,0,,RPTOMLOLMHPFFGE56CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,10.8,商,,,1081016,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,94.64,2,1,1,有,有,6650000,67694,坡道機械,13.54,1160000,,RPQPMLSLMHPFFGE76CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,13.61,商,,,1081024,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,119.42,3,2,2,有,有,8620000,73291,坡道機械,13.54,860000,,RPRPMLSLMHPFFGE86CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,15.66,商,,,1081016,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,137.34,3,2,2,有,有,8690000,66024,坡道平面,31.47,1700000,含裝潢,RPSPMLSLMHPFFGE96CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,15.66,商,,,1081111,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,137.34,3,2,2,有,有,8720000,66308,坡道平面,31.47,1700000,,RPTPMLSLMHPFFGE07CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,16.09,商,,,1081028,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,141.18,3,2,2,有,有,8920000,65810,坡道平面,31.47,1700000,,RPUPMLSLMHPFFGE17CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,16.09,商,,,1081103,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,141.18,3,2,2,有,有,9240000,67359,坡道平面,31.47,1850000,,RPVPMLSLMHPFFGE27CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,10.15,商,,,1081014,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,88.99000000000001,2,1,1,有,有,6080000,67594,坡道機械,13.54,980000,,RPXOMLSLMHPFFGE37CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區中正路211~240號,10.15,商,,,1081020,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090224,88.99000000000001,2,1,1,有,有,6210000,70908,坡道機械,13.54,860000,含裝潢,RPOPMLSLMHPFFGE56CA
鳳山區,房地(土地+建物),高雄市鳳山區鳳仁路61~90號,996.81,工,,,1081211,土地3建物1車位0,一層，二層，三層，見其他登記事項,三層,廠辦,見其他登記事項,見其他登記事項,1031130,1165.34,0,0,0,無,無,70000000,60068,,0.0,0,含增建或未登記建物。;房屋價款內含營業稅。,RPRNMLQJNHPFFGE98CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區南正一路1~30號,21.75,住,,,1090226,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011031,149.3,3,2,2,有,有,7700000,51574,坡道平面,0.0,0,,RPPRMLSJNHPFFGE76CA
